"","orig.ident","nCount_RNA","nFeature_RNA","sample_id","sample_type","organism","donor","sex","age_days","eye_condition","genotype","driver_lines","reporter_lines","brain_hemisphere","brain_region","brain_subregion","injection_label_direction","injection_primary","injection_secondary","injection_tract","injection_material","injection_exclusion_criterion","facs_date","facs_container","facs_sort_criteria","rna_amplification_set","library_prep_set","library_prep_avg_size_bp","seq_name","seq_tube","seq_batch","total_reads","percent_exon_reads","percent_intron_reads","percent_intergenic_reads","percent_rrna_reads","percent_mt_exon_reads","percent_reads_unique","percent_synth_reads","percent_ecoli_reads","percent_aligned_reads_total","complexity_cg","genes_detected_cpm_criterion","genes_detected_fpkm_criterion","tdt_cpm","gfp_cpm","class","subclass","cluster","confusion_score","cluster_correlation","core_intermediate_call","id_raw","cell_type","dbscan_filter","id_new","coord_x","coord_y"
"F2S4_160329_012_E01","F2S4",412687,9392,541796504,"Cells","Mus musculus",237300,"M",53,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","3/29/2016","F2S4_160329_012","RFP-positive","A8S4_160718_02","L8S4_160726_02_E08",413,"LS-15383_S61_E2-50","LS-15383","R8S4-160805",2864945,86.9383822993563,9.34384289336827,3.7177748072754,0.024921944,6.98e-05,16.84971265,0.000354632,0.001802827,100,0.375287897,10140,9539,78.54,78.54,"Glutamatergic","L5 IT","L5 IT VISp Col6a1 Fezf2",0.68,0.866994805,"Intermediate","F2S4_160329_012_E01","L5 IT",1,"F2S4_160329_012_E01",5058.14380977618,2002.22722076873
"F2S4_160727_004_E01","F2S4",1598207,9860,544839888,"Cells","Mus musculus",261268,"F",56,"Normal","Sst-IRES-Cre/wt;Pvalb-T2A-Dre/wt;Ai66(RCRL-tdT)/wt","Pvalb-T2A-Dre|Sst-IRES-Cre","Ai66(RCRL-tdT)","L","VISp","L5-L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","7/27/2016","F2S4_160727_004","RFP-positive","A8S4_160801_01","L8S4_160805_01_E12",409,"LS-15398_S93_E1-50","LS-15398","R8S4-160817",2263594,84.1805419287292,11.4389696654911,4.38048840577968,0.129837771,0.001148616,85.49315823,0.001755173,0.004610809,95.71252619,0.352121281,11073,10048,174.5,174.5,"GABAergic","Sst","Sst Nr2f2 Necab1",0.173,0.882860669,"Core","F2S4_160727_004_E01","Sst",1,"F2S4_160727_004_E01",3083.5326483099,1157.44120989807
"F2S4_161010_031_E01","F2S4",1739370,9365,558031185,"Cells","Mus musculus",274153,"M",58,"Normal","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Sst-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L1-L2/3","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","10/10/2016","F2S4_161010_031","RFP-positive","A8S4_161013_01","L8S4_161019_01_E06",402,"LS-15579_S45_E1-50","LS-15579","R8S4-161028",2628521,78.9562642685433,16.4905419577026,4.55319377375402,0.104735705,0.000266309,85.78006415,0.003199898,0.007006982,95.45965202,0.345399341,10495,9498,127.07,127.07,"GABAergic","Sst","Sst Tac1 Htr1d",0.3797,0.870514631,"Core","F2S4_161010_031_E01","Sst",1,"F2S4_161010_031_E01",3102.78987830255,1192.72293940556
"F2S4_160127_030_A01","F2S4",1878243,8944,519592879,"Cells","Mus musculus",227800,"M",54,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/27/2016","F2S4_160127_030","RFP-positive","A8S4_160404_01","L8S4_160414_01_A04",410,"LS-15058_S25_E1-50","LS-15058","R8S4-160504",2740439,82.9057496103637,12.6758008586505,4.41844953098578,0.145743073,0.000218943,84.08809683,0.00451424,0.012326492,94.97522112,0.368401433,10200,9076,230.62,230.62,"Glutamatergic","L6 CT","L6 CT VISp Ctxn3 Sla",0.1687,0.890624716,"Core","F2S4_160127_030_A01","L6 CT",1,"F2S4_160127_030_A01",3649.65505622394,2875.89025969561
"F2S4_161207_005_F01","F2S4",1633584,9881,566710157,"Cells","Mus musculus",284706,"M",59,"Normal","Ai14(RCL-tdT)/Ai14(RCL-tdT)","","Ai14(RCL-tdT)/Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","LGd","LGd, LGv, LP","PTLp, HPF","RV-dGL-Cre","OK","12/7/2016","F2S4_161207_005","RFP-positive","A8S4_161209_01","L8S4_161220_01_F05",389,"SM-D9CXH_S38_E1-50","SM-D9CXH","R8S4-170111",2442217,79.2671586360723,16.0152320674752,4.71760929645252,0.171483533,0.000122839,86.21502512,0.005785317,0.001508875,95.74681529,0.349156872,11241,10119,626.48,626.48,"Glutamatergic","L6 CT","L6 CT VISp Ctxn3 Sla",0.1687,0.894279267,"Core","F2S4_161207_005_F01","L6 CT",1,"F2S4_161207_005_F01",3630.87150503651,2911.20566999748
"F1S4_180130_331_E01","F1S4",460914,6925,669199170,"Cells","Mus musculus",370797,"F",58,"Normal","Npy-IRES2-FlpO/wt;Ai65F/wt","Npy-IRES2-FlpO","Ai65F","L","VISp","L1-L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/30/2018","F1S4_180130_331","RFP-positive","A8S4_180202_09","L8S4_180209_05_E06",355,"SM-GE67T_S237_E1-50","SM-GE67T","R8S4-180221",652055,83.3116637264983,11.4903093987047,5.19802687479704,0,0.471892708,85.87067042,0.002369432,0.002324957,95.669077,0.359655005,7805,7088,271.45,271.45,"GABAergic","Sst","Sst Tac1 Tacr3",0.5381,0.814921644,"Core","F1S4_180130_331_E01","Sst",1,"F1S4_180130_331_E01",3247.54693973408,2688.52875560193
"F2S4_160624_031_A01","F2S4",1560373,9250,535909564,"Cells","Mus musculus",252599,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/24/2016","F2S4_160624_031","RFP-positive","A8S4_160630_03","L8S4_160708_04_A08",398,"LS-15364_S57_E1-50","LS-15364","R8S4-160715",2251862,83.3755905851365,11.8346050528722,4.78980436199135,0.097608113,8.88e-05,85.03447369,0.003429606,0.006244166,95.74463266,0.360782635,10422,9406,250.9,250.9,"Glutamatergic","L5 IT","L5 IT VISp Col27a1",0.285,0.857472871,"Core","F2S4_160624_031_A01","L5 IT",1,"F2S4_160624_031_A01",2619.71948428121,4363.16941583113
"F2S4_170323_011_E01","F2S4",1637148,4479,583386725,"Cells","Mus musculus",304663,"F",58,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L2/3","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","3/23/2017","F2S4_170323_011","RFP-negative","A8S4_170328_01","L8S4_170403_02_E09",421,"SM-D9D8O_S69_E1-50","SM-D9D8O","R8S4-170412",3000747,71.2001502571244,24.3808291524633,4.41902059041229,0.06551702,3.33e-05,79.84095294,0.004348584,0.00385704,90.54855341,0.375611935,6733,4592,13.33,13.33,"Non-Neuronal","Astro","Astro Aqp4",0,0.731221514,"Core","F2S4_170323_011_E01","Astro",1,"F2S4_170323_011_E01",3684.24887300182,500.418540335895
"F2S4_170126_009_E01","F2S4",1071618,7814,570913617,"Cells","Mus musculus",294813,"M",53,"Normal","Scnn1a-Tg3-Cre/wt;Ai14(RCL-tdT)/wt","Scnn1a-Tg3-Cre","Ai14(RCL-tdT)","L","VISp","L2/3-L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/26/2017","F2S4_170126_009","RFP-positive","A8S4_170127_01","L8S4_170202_03_E08",481,"SM-D9CZ6_S61_E1-50","SM-D9CZ6","R8S4-170215",1899768,67.1868975870818,26.8199229190295,5.99317949388866,0.110960917,0.000105276,88.19697984,0.00243714,0.003792042,96.07057283,0.323048124,8926,8004,180.55,180.55,"Glutamatergic","L4","L4 IT VISp Rspo1",0.0322,0.843256084,"Core","F2S4_170126_009_E01","L4",1,"F2S4_170126_009_E01",5332.62239223474,1577.32463334104
"F2S4_151223_008_A01","F2S4",924172,7971,527125116,"Cells","Mus musculus",223184,"M",53,"Normal","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Slc32a1-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","12/23/2015","F2S4_151223_008","RFP-positive","A8S4_160119_02","L8S4_160121_02_A02",560,"LS-14696_S09_E1-50","LS-14696","R8S4-160203",1574005,72.4651818168152,23.0430753208659,4.49174286231897,0.197394544,0.000127064,83.49757466,0.004040013,0.023444652,93.49131674,0.343804308,9272,8201,132.15,132.15,"GABAergic","Sst","Sst Chrna2 Glra3",0.2999,0.849532099,"Core","F2S4_151223_008_A01","Sst",1,"F2S4_151223_008_A01",2341.96029029975,5531.42011033342
"F2S4_160115_017_D01","F2S4",1017017,8679,527125816,"Cells","Mus musculus",226054,"M",54,"Normal","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Gad2-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/15/2016","F2S4_160115_017","RFP-positive","A8S4_160120_01","L8S4_160125_01_D05",479,"LS-15000_S36_E1-50","LS-15000","R8S4-160203",1704098,74.0803151374462,21.0799029045615,4.83978195799229,0.187782628,0.000352092,82.7078607,0.003353094,0.03438828,92.84014182,0.357709611,9950,8865,114.43,114.43,"GABAergic","Sst","Sst Chrna2 Glra3",0.7979,0.844595933,"Intermediate","F2S4_160115_017_D01","Sst",1,"F2S4_160115_017_D01",2289.19070182347,5587.3036770417
"F2S4_160129_015_F01","F2S4",1384009,8290,527151016,"Cells","Mus musculus",227804,"M",56,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/29/2016","F2S4_160129_015","RFP-positive","A8S4_160311_02","L8S4_160323_01_F03",418,"LS-15038_S22_E1-50","LS-15038","R8S4-160405-M",2160773,79.441286907704,15.3022144117092,5.25649868058674,0.14268042,0.000277678,82.73830708,0.001767886,0.014728525,93.6211254,0.37170521,9605,8466,126.34,126.34,"GABAergic","Sst","Sst Chrna2 Glra3",0.3096,0.860962045,"Core","F2S4_160129_015_F01","Sst",1,"F2S4_160129_015_F01",2371.6328446141,5592.83595846954
"F2S4_160419_019_F01","F2S4",1496601,7903,522732983,"Cells","Mus musculus",239954,"F",59,"Normal","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Gad2-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","4/19/2016","F2S4_160419_019","RFP-positive","A8S4_160426_03","L8S4_160505_01_F07",429,"LS-15081_S54_E1-50","LS-15081","R8S4-160520",2085764,86.2856584174545,9.86261303601376,3.8517285465317,0.18492025,0.000671217,84.84531328,0.002215016,0.01032811,95.45562202,0.36538921,8897,8031,156.3,156.3,"GABAergic","Sst","Sst Myh8 Fibin",0.7819,0.872697406,"Core","F2S4_160419_019_F01","Sst",1,"F2S4_160419_019_F01",2307.49754498186,5551.72668635127
"F2S4_180312_009_D01","F2S4",512274,5945,683513527,"Cells","Mus musculus",374806,"F",77,"Normal","Htr3a-Cre_NO152/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt","Htr3a-Cre_NO152|Sst-IRES-FlpO","Ai65(RCFL-tdT)","R","VISp","L5-L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","3/12/2018","F2S4_180312_009","RFP-positive","A8S4_180315_06","L8S4_180321_04",370,"SM-GE8ZW_S348_E1-50","SM-GE8ZW","R8S4-180404",728492,81.982204013699,13.2693723394041,4.74842364689691,0.253949254,0,85.7744491360235,0.004324001,0.001962959,95.56604602,0.380761045,6824,5944,85.11,85.11,"GABAergic","Sst","Sst Myh8 Fibin",0.0305,0.832485989,"Core","F2S4_180312_009_D01","Sst",1,"F2S4_180312_009_D01",2329.6277140123,5585.04718482719
"F2S4_160405_015_A01","F2S4",2187327,10257,521592513,"Cells","Mus musculus",237569,"M",59,"Normal","Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt","Ndnf-IRES2-dgCre","Ai14(RCL-tdT)","L","VISp","L1","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","4/5/2016","F2S4_160405_015","RFP-positive","A8S4_160413_03","L8S4_160427_01_A08",460,"LS-15073_S57_E1-50","LS-15073","R8S4-160513",2974776,86.2018534590072,10.3733792748302,3.42476726616263,0.170500233,0.000235312,86.65462542,0.003625483,0.005733205,95.80489422,0.341263447,11315,10418,449.78,449.78,"GABAergic","Lamp5","Lamp5 Ntn1 Npy2r",0.7993,0.846597254,"Core","F2S4_160405_015_A01","Lamp5",1,"F2S4_160405_015_A01",4138.31585422047,586.763113321655
"F2S4_160901_016_A01","F2S4",869452,3642,553804241,"Cells","Mus musculus",275830,"M",59,"Normal","Vipr2-IRES2-Cre/wt;PhiC31-neo/Ai14(RCL-tdT)","Vipr2-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L1-L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","9/1/2016","F2S4_160901_016","RFP-positive","A8S4_160916_01","L8S4_160921_01_A04",479,"SQ-80001_S25_E1-50","SQ-80001","R8S4-161006",1948734,59.9718463083637,31.9998614130129,8.02829227862343,0.014111726,0,79.97951491,0.007049192,0.022753234,88.81956183,0.34167854,5386,3812,26.17,26.17,"Non-Neuronal","Astro","Astro Aqp4",0,0.685581621,"Core","F2S4_160901_016_A01","Astro",1,"F2S4_160901_016_A01",4095.36335924467,570.455526528037
"F2S4_160115_008_G01","F2S4",1672654,8465,527126632,"Cells","Mus musculus",226054,"M",54,"Normal","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Gad2-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L2/3","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/15/2016","F2S4_160115_008","RFP-positive","A8S4_160120_02","L8S4_160125_02_G10",439,"LS-15001_S79_E1-50","LS-15001","R8S4-160203",2752122,72.6652632544124,22.8698732862741,4.46486345931353,0.180587925,0.000181678,85.5780376,0.004045606,0.02021313,94.06192749,0.328838015,9906,8658,356.09,356.09,"GABAergic","Vip","Vip Chat Htr1f",0.2331,0.819991893,"Core","F2S4_160115_008_G01","Vip",1,"F2S4_160115_008_G01",4168.37761516353,613.150420068927
"F2S4_160429_019_G01","F2S4",2251031,8814,523737737,"Cells","Mus musculus",242314,"F",56,"Normal","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Slc32a1-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L2/3","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","4/29/2016","F2S4_160429_019","RFP-positive","A8S4_160511_02","L8S4_160517_02_G04",435,"LS-15099_S31_E1-50","LS-15099","R8S4-160527",2873915,88.7789655902842,8.26571033532803,2.95532407438778,0.309334131,0.000382753,89.43820537,0.004639664,0.003637547,96.88111861,0.342283254,9618,8953,1160.09,1160.09,"GABAergic","Vip","Vip Chat Htr1f",0.1384,0.827711115,"Intermediate","F2S4_160429_019_G01","Vip",1,"F2S4_160429_019_G01",4200.10313192072,588.78873731734
"F2S4_160617_003_G01","F2S4",4316047,10517,535960144,"Cells","Mus musculus",251596,"M",56,"Normal","Ctgf-T2A-dgCre/wt;Ai14(RCL-tdT)/wt","Ctgf-T2A-dgCre","Ai14(RCL-tdT)","L","VISp","L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/17/2016","F2S4_160617_003","RFP-positive","A8S4_160623_03","L8S4_160701_04_G01",406,"LS-15356_S07_E3-50","LS-15356","R8S4-160712",6267060,83.6817116369499,12.3610060163908,3.95728234665936,0.029726858,0.000127652,26.86596267,0.00045811,0.002636962,30.84776594,0.376335396,10519,9614,54.21,54.21,"Glutamatergic","L6b","L6b P2ry12",0.1153,0.902000896,"Core","F2S4_160617_003_G01","L6b",2,"F2S4_160617_003_G01",4277.88850961859,2754.56984978282
"F2S4_160901_001_A01","F2S4",1267900,3641,552838464,"Cells","Mus musculus",275830,"M",59,"Normal","Vipr2-IRES2-Cre/wt;PhiC31-neo/Ai14(RCL-tdT)","Vipr2-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L1-L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","9/1/2016","F2S4_160901_001","RFP-positive","A8S4_160907_03","L8S4_160913_03_A04",478,"LS-15552_S25_E1-50","LS-15552","R8S4-160923",2738203,60.8160833826579,33.95168402483,5.23223259251207,0.071725873,7.3e-05,81.65749581,0.007894959,0.024634404,92.59978168,0.345218281,5753,3837,74.14,74.14,"Non-Neuronal","Astro","Astro Aqp4",0,0.720142321,"Core","F2S4_160901_001_A01","Astro",1,"F2S4_160901_001_A01",1267.47201148391,4525.81479171049
"F2S4_171120_003_E01","F2S4",133170,2777,656526210,"Cells","Mus musculus",358332,"M",55,"Normal","Rorb-P2A-FlpO/wt;Ai65F/wt","Rorb-P2A-FlpO","Ai65F","L","VISp","L2/3","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","11/20/2017","F2S4_171120_003","RFP-positive","A8S4_171127_07","L8S4_171201_02_E04",356,"SM-GE667_S029_E1-50","SM-GE667","R8S4-171214",263437,66.0579428298822,28.8368953650929,5.10516180502497,0.046310883,0,80.42302334,0.000534587,0.000223507,92.8855855,0.392442993,3722,2892,34.16,34.16,"Non-Neuronal","Astro","Astro Aqp4",0,0.708430785,"Core","F2S4_171120_003_E01","Astro",1,"F2S4_171120_003_E01",1272.22295449147,4571.51386163312
"F2S4_170105_002_E01","F2S4",1739966,10836,568051292,"Cells","Mus musculus",291016,"M",53,"Normal","Ai14(RCL-tdT)/wt","","Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","PG","PG","RSP, SCm, SCs, MRN","AAV2-retro-EF1a-Cre","OK","1/5/2017","F2S4_170105_002","RFP-positive","A8S4_170109_01","L8S4_170112_06_E08",616,"SM-D9CY7_S61_E1-50","SM-D9CY7","R8S4-170125",2603965,79.2587663390952,15.8488828622358,4.89235079866893,0.136176946,3.84e-05,86.16029785,0.003587606,0.001046097,96.20597819,0.335488455,12165,11122,317.98,317.98,"Glutamatergic","L5 PT","L5 PT VISp Krt80",0.0615,0.89532728,"Core","F2S4_170105_002_E01","L5 PT",2,"F2S4_170105_002_E01",1772.02579301614,6425.29174318463
"F2S4_160127_011_F01","F2S4",1463148,9551,527147072,"Cells","Mus musculus",227800,"M",54,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/27/2016","F2S4_160127_011","RFP-positive","A8S4_160311_01","L8S4_160317_03_F02",541,"LS-15033_S14_E1-50","LS-15033","R8S4-160328",2389379,74.5097622066475,20.3583341580006,5.13190363535188,0.066711895,0.004478151,84.57875456,0.003698032,0.008316805,94.89900932,0.344510269,10924,9779,298.4,298.4,"Glutamatergic","L4","L4 IT VISp Rspo1",0.0313,0.873465528,"Core","F2S4_160127_011_F01","L4",1,"F2S4_160127_011_F01",1582.30887485304,5197.03592282773
"F2S4_160719_001_G01","F2S4",1527044,7139,541801971,"Cells","Mus musculus",258450,"M",53,"Normal","Nr5a1-Cre/wt;Ai14(RCL-tdT)/wt","Nr5a1-Cre","Ai14(RCL-tdT)","L","VISp","L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","7/19/2016","F2S4_160719_001","RFP-positive","A8S4_160721_01","L8S4_160728_04_G05",402,"LS-15389_S39_E1-50","LS-15389","R8S4-160805",2438780,80.845019882008,12.2949964584497,6.85998365954229,0.121249149,0.000164016,78.61151887,0.007165878,0.008436595,89.47149804,0.381605909,8259,7258,57,57,"Glutamatergic","L4","L4 IT VISp Rspo1",0.0307,0.833942316,"Core","F2S4_160719_001_G01","L4",1,"F2S4_160719_001_G01",1581.10044062198,5116.77939725177
"F2S4_160719_011_A01","F2S4",1724265,9474,541802298,"Cells","Mus musculus",258450,"M",53,"Normal","Nr5a1-Cre/wt;Ai14(RCL-tdT)/wt","Nr5a1-Cre","Ai14(RCL-tdT)","L","VISp","L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","7/19/2016","F2S4_160719_011","RFP-positive","A8S4_160721_01","L8S4_160728_04_A10",469,"LS-15389_S73_E1-50","LS-15389","R8S4-160805",2671862,76.0135902736197,18.9363176249037,5.0500921014766,0.145067372,0.000187135,86.97006058,0.004603531,0.00272806,96.18094048,0.325219266,10598,9654,544.94,544.94,"Glutamatergic","L4","L4 IT VISp Rspo1",0.0313,0.87903052,"Core","F2S4_160719_011_A01","L4",1,"F2S4_160719_011_A01",1543.78448674367,5175.02166642344
"F2S4_170126_009_A01","F2S4",958034,8403,570913585,"Cells","Mus musculus",294813,"M",53,"Normal","Scnn1a-Tg3-Cre/wt;Ai14(RCL-tdT)/wt","Scnn1a-Tg3-Cre","Ai14(RCL-tdT)","L","VISp","L2/3-L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/26/2017","F2S4_170126_009","RFP-positive","A8S4_170127_01","L8S4_170202_03_A08",523,"SM-D9CZ6_S57_E1-50","SM-D9CZ6","R8S4-170215",1656236,73.382844929797,20.8918038096406,5.72535126056249,0.087125265,0.000301889,81.15975018,0.00863645,0.00297844,89.01756754,0.348399383,9514,8650,304.3,304.3,"Glutamatergic","L4","L4 IT VISp Rspo1",0.0313,0.86486065,"Core","F2S4_170126_009_A01","L4",1,"F2S4_170126_009_A01",1618.47174089991,5148.34079159412
"F2S4_170126_021_H01","F2S4",1664276,8845,570913706,"Cells","Mus musculus",294813,"M",53,"Normal","Scnn1a-Tg3-Cre/wt;Ai14(RCL-tdT)/wt","Scnn1a-Tg3-Cre","Ai14(RCL-tdT)","L","VISp","L2/3-L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/26/2017","F2S4_170126_021","RFP-positive","A8S4_170127_01","L8S4_170202_03_H09",417,"SM-D9CZ6_S72_E1-50","SM-D9CZ6","R8S4-170215",2899904,67.5129359143952,27.1179841492265,5.36907993637826,0.102313732,0.000206903,88.03636258,0.005402593,0.002233867,96.09090508,0.322900231,10080,9034,143.8,143.8,"Glutamatergic","L4","L4 IT VISp Rspo1",0.0313,0.861763308,"Core","F2S4_170126_021_H01","L4",1,"F2S4_170126_021_H01",1579.36313586339,5156.74165159478
"F2S4_160622_007_G01","F2S4",1591260,10312,535903785,"Cells","Mus musculus",252193,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/22/2016","F2S4_160622_007","RFP-positive","A8S4_160628_01","L8S4_160706_04_G01",456,"LS-15360_S07_E1-50","LS-15360","R8S4-160715",2181552,85.7023054785789,10.7904792435624,3.50721527785867,0.145676106,0.000962617,86.63639464,0.004978566,0.003741832,95.82503649,0.346737716,11229,10505,333.25,333.25,"Glutamatergic","L5 IT","L5 IT VISp Col27a1",0.0882,0.89696136,"Core","F2S4_160622_007_G01","L5 IT",1,"F2S4_160622_007_G01",2595.50193317197,4693.99133744061
"F2S4_161128_014_G01","F2S4",2117133,10192,563197412,"Cells","Mus musculus",284143,"M",53,"Normal","Ai14(RCL-tdT)/wt","","Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","RSP","RSP, VISam","none","AAV2-retro-EF1a-Cre","OK","11/28/2016","F2S4_161128_014","RFP-positive","A8S4_161130_04","L8S4_161207_06_G10",371,"LS-15933_S79_E1-50","LS-15933","R8S4-161221",2911324,90.387702267476,5.20971765412708,4.40258007839693,0.073918258,0.000206092,81.57154614,0.00284441,0.002846815,94.5141798,0.362033926,11375,10327,171.4,171.4,"Glutamatergic","L5 IT","L5 IT VISp Col6a1 Fezf2",0.4858,0.847475785,"Core","F2S4_161128_014_G01","L5 IT",1,"F2S4_161128_014_G01",2605.16446252108,4732.80674065347
"F2S4_171120_019_H01","F2S4",655631,3812,656525191,"Cells","Mus musculus",358332,"M",55,"Normal","Rorb-P2A-FlpO/wt;Ai65F/wt","Rorb-P2A-FlpO","Ai65F","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","11/20/2017","F2S4_171120_019","RFP-positive","A8S4_171127_06","L8S4_171201_01_H05",329,"SM-GE666_S136_E1-50","SM-GE666","R8S4-171214",1140250,74.5327562780302,20.7194118000281,4.74783192194168,0.055601842,0.0001754,79.7382153,0.000568831,3.35e-05,92.98303,0.394637703,5034,3886,114.89,114.89,"Non-Neuronal","Astro","Astro Aqp4",0,0.701979057,"Core","F2S4_171120_019_H01","Astro",1,"F2S4_171120_019_H01",4049.5705380122,570.447284108446
"F2S4_170526_008_A01","F2S4",3267971,9980,597531301,"Cells","Mus musculus",320532,"M",56,"Normal","Slc17a8-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Slc17a8-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L1-L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","5/26/2017","F2S4_170526_008","RFP-positive","A8S4_170601_06","L8S4_170607_05_A07",403,"SM-DAIFF_S49_E1-50","SM-DAIFF","R8S4-170615",4605152,84.5414275205304,11.5788710601239,3.87970141934567,0.112873582,0.0005863,85.36927771,0.003378607,0.001219938,95.75358208,0.354821867,11314,10133,143.97,143.97,"GABAergic","Sst","Sst Hpse Cbln4",0.4022,0.875377772,"Core","F2S4_170526_008_A01","Sst",1,"F2S4_170526_008_A01",2677.32979729548,3158.86522641146
"F2S4_170908_006_D01","F2S4",1058773,8154,642344273,"Cells","Mus musculus",344733,"M",56,"Normal","Pdyn-T2A-CreERT2/wt;Ai14(RCL-tdT)/wt","Pdyn-T2A-CreERT2","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","9/8/2017","F2S4_170908_006","RFP-positive","A8S4_170912_07","L8S4_170918_04_D07",450,"SM-GE631_S148_E1-50","SM-GE631","R8S4-170927",1445631,88.0898721835365,8.16179678880618,3.74833102765732,0.112269314,0.001037609,84.49991734,0.001647032,0.003024977,95.50314015,0.377949267,9333,8322,122.44,122.44,"GABAergic","Sst","Sst Hpse Cbln4",0.6789,0.849069919,"Core","F2S4_170908_006_D01","Sst",1,"F2S4_170908_006_D01",2710.91781626352,3180.58721945544
"F2S4_170828_008_G01","F2S4",922784,8633,640039180,"Cells","Mus musculus",341956,"M",59,"Normal","Gng7-Cre_KH71/wt;Ai14(RCL-tdT)/wt","Gng7-Cre_KH71","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","8/28/2017","F2S4_170828_008","RFP-positive","A8S4_170901_02","L8S4_170911_05_G06",463,"SM-GE635_S143_E1-50","SM-GE635","R8S4-170921",1262685,86.8953984817402,9.3130091532003,3.79159236505952,0.107073419,0.000554374,85.6276902,0.004141967,0.002347379,96.01048559,0.359628766,9470,8789,148.89,148.89,"GABAergic","Sst","Sst Mme Fam114a1",0.2631,0.86489068,"Core","F2S4_170828_008_G01","Sst",1,"F2S4_170828_008_G01",2779.06418705471,3226.55650196365
