"","orig.ident","nCount_RNA","nFeature_RNA","sample_id","sample_type","organism","donor","sex","age_days","eye_condition","genotype","driver_lines","reporter_lines","brain_hemisphere","brain_region","brain_subregion","injection_label_direction","injection_primary","injection_secondary","injection_tract","injection_material","injection_exclusion_criterion","facs_date","facs_container","facs_sort_criteria","rna_amplification_set","library_prep_set","library_prep_avg_size_bp","seq_name","seq_tube","seq_batch","total_reads","percent_exon_reads","percent_intron_reads","percent_intergenic_reads","percent_rrna_reads","percent_mt_exon_reads","percent_reads_unique","percent_synth_reads","percent_ecoli_reads","percent_aligned_reads_total","complexity_cg","genes_detected_cpm_criterion","genes_detected_fpkm_criterion","tdt_cpm","gfp_cpm","class","subclass","cluster","confusion_score","cluster_correlation","core_intermediate_call","id_raw","cell_type","dbscan_filter","id_new","coord_x","coord_y","CC_1","CC_2","CC_3"
"F2S4_160615_011_B01","F2S4",1745122,9926,535954284,"Cells","Mus musculus",250951,"M",57,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/15/2016","F2S4_160615_011","RFP-positive","A8S4_160620_03","L8S4_160629_04_B07",407,"LS-15352_S50_E1-50","LS-15352","R8S4-160712",2672515,77.8241138160407,17.5844380642251,4.5914481197342,0.091112679,0.000374179,85.92165058,0.002663783,0.004803715,95.86737586,0.343258119,11203,10132,203.18,203.18,"Glutamatergic","L5 IT","Batf3",0.6881,0.885716725,"Intermediate","F2S4_160615_011_B01","L5 IT",1,"F2S4_160615_011_B01",5234.97687090788,1884.93173645795,-0.017348183135931,0.0485255017428561,0.265522460374886
"F2S4_160624_023_H01","F2S4",2088894,10662,535908375,"Cells","Mus musculus",252599,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/24/2016","F2S4_160624_023","RFP-positive","A8S4_160630_01","L8S4_160708_02_H12",374,"LS-15362_S96_E1-50","LS-15362","R8S4-160715",3071114,80.915158523802,14.89260740767,4.19223406852795,0.103708296,0.000358176,85.91182222,0.002491604,0.003251263,96.13817657,0.345297358,11907,10856,217.51,217.51,"Glutamatergic","L5 IT","Hsd11b1 Endou",0.4105,0.899093715,"Intermediate","F2S4_160624_023_H01","L5 IT",1,"F2S4_160624_023_H01",5197.22431891373,1898.15084451897,-0.0451593210178544,0.24368933387445,0.00210587123962958
"F2S4_160126_007_B01","F2S4",1184150,9427,527142177,"Cells","Mus musculus",227236,"M",56,"EYE: Cataracts (R)","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/26/2016","F2S4_160126_007","RFP-positive","A8S4_160223_01","L8S4_160302_01_B07",555,"LS-15020_S50_E1-50","LS-15020","R8S4-160308",1998072,72.8332956335612,22.2947569123538,4.87194745408496,0.095592151,0.000300289,83.84918061,0.003392771,0.034616871,93.49858263,0.347357527,10689,9688,165.16,165.16,"Glutamatergic","L5 IT","Batf3",0.1374,0.862886163,"Core","F2S4_160126_007_B01","L5 IT",1,"F2S4_160126_007_B01",2350.5502707819,3959.10076852788,-0.0662274043874709,-0.00957518373085586,0.427371018199129
"F2S4_160126_005_G01","F2S4",1859048,10892,527131347,"Cells","Mus musculus",227236,"M",56,"EYE: Cataracts (R)","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/26/2016","F2S4_160126_005","RFP-positive","A8S4_160204_02","L8S4_160212_02_G02",643,"LS-15011_S15_E1-50","LS-15011","R8S4-160225",2814735,81.2231273542962,14.2124907090858,4.56438193661808,0.120082352,0.000142109,82.79415291,0.003375096,0.0096478,93.2070337,0.341887708,12231,11092,307.31,307.31,"Glutamatergic","L5 IT","Col27a1",0.7781,0.866767394,"Intermediate","F2S4_160126_005_G01","L5 IT",1,"F2S4_160126_005_G01",3471.33897541803,2360.93330440153,0.431019731978785,-0.0233778372713301,-0.0242327176932455
"F2S4_160128_017_D01","F2S4",1765705,10406,527146646,"Cells","Mus musculus",227802,"M",55,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/28/2016","F2S4_160128_017","RFP-positive","A8S4_160310_03","L8S4_160317_02_D01",503,"LS-15032_S04_E1-50","LS-15032","R8S4-160328",2898735,76.2616325783721,19.145288418187,4.5930790034409,0.10176853,0.000206987,81.9363274,0.00354603,0.035718339,92.40199604,0.36074614,11823,10593,186.98,186.98,"Glutamatergic","L5 IT","Col6a1 Fezf2",0.1966,0.890707969,"Core","F2S4_160128_017_D01","L5 IT",1,"F2S4_160128_017_D01",1495.67105418131,6671.24907844704,0.210432427698559,-0.051058773796555,0.124064137196209
"F2S4_160623_043_B01","F2S4",1671512,9513,539547958,"Cells","Mus musculus",252598,"M",57,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/23/2016","F2S4_160623_043","RFP-positive","A8S4_160705_02","L8S4_160712_02_B04",376,"LS-15366_S26_E1-50","LS-15366","R8S4-160722",2414035,83.8609754514171,11.8902153767475,4.24880917183542,0.113834306,0.000289971,84.12976614,0.002787863,0.007240574,95.0996568,0.366445327,10574,9650,193.04,193.04,"Glutamatergic","L5 IT","Hsd11b1 Endou",0.1507,0.888148061,"Core","F2S4_160623_043_B01","L5 IT",1,"F2S4_160623_043_B01",1476.98513736261,6581.95295885228,-0.0854848165292197,0.212355433485887,-0.0826165229505371
"F2S4_180110_058_H01","F2S4",984595,9307,660546344,"Cells","Mus musculus",366890,"F",59,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/10/2018","F2S4_180110_058","RFP-positive","A8S4_180111_10","L8S4_180118_03_H09",382,"SM-GE676_S168_E1-50","SM-GE676","R8S4-180124",1343212,85.4033287342096,11.2294046994587,3.36726656633171,0.13735732,0.000372242,87.14439716,0.005428778,0.001240311,95.84637421,0.352037975,10193,9453,330.55,330.55,"Glutamatergic","L5 IT","Hsd11b1 Endou",0.0949,0.882736497,"Core","F2S4_180110_058_H01","L5 IT",1,"F2S4_180110_058_H01",1466.12666892718,6620.45092845117,-0.0202595851017472,0.226604126160447,-0.0628576242615277
"F2S4_160615_001_E01","F2S4",1537609,9212,535948942,"Cells","Mus musculus",250951,"M",57,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/15/2016","F2S4_160615_001","RFP-positive","A8S4_160620_01","L8S4_160629_02_E03",432,"LS-15350_S21_E1-50","LS-15350","R8S4-160712",2267952,80.5180809755934,15.0656862720748,4.41623275233182,0.084790154,0.000132278,86.29062696,0.003011087,0.004490395,96.36601656,0.345085774,10404,9429,293.66,293.66,"Glutamatergic","L5 IT","Hsd11b1 Endou",0.1204,0.877540638,"Core","F2S4_160615_001_E01","L5 IT",1,"F2S4_160615_001_E01",1456.35498055,6678.61429088236,-0.0412066537572701,0.219221938163584,-0.183559657056381
"F2S4_171120_017_F01","F2S4",960370,9024,656531221,"Cells","Mus musculus",358332,"M",55,"Normal","Rorb-P2A-FlpO/wt;Ai65F/wt","Rorb-P2A-FlpO","Ai65F","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","11/20/2017","F2S4_171120_017","RFP-positive","A8S4_171128_06","L8S4_171201_05_F05",356,"SM-GE668_S134_E1-50","SM-GE668","R8S4-171214",1253855,91.0489971189792,5.52914962250214,3.42185325851866,0.130477607,0.00039877,85.22301223,8.3e-05,1.79e-05,96.0140527,0.375994292,9830,9140,335.76,335.76,"Glutamatergic","L5 IT","Batf3",0.1374,0.88790183,"Core","F2S4_171120_017_F01","L5 IT",1,"F2S4_171120_017_F01",2396.27249750352,3658.8308781178,0.0253464650091738,-0.0943525990863714,0.337839063786981
"F2S4_170203_020_C01","F2S4",1684535,10186,573042213,"Cells","Mus musculus",295493,"F",58,"Normal","Ai14(RCL-tdT)/wt","","Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","VISp-c","VISp, VISpm, VISpl","none","AAV2-retro-EF1a-Cre","OK","2/3/2017","F2S4_170203_020","RFP-positive","A8S4_170208_04","L8S4_170216_02_C04",450,"SM-D9CZT_S27_E1-50","SM-D9CZT","R8S4-170301",2459018,81.3693138304438,14.304989546792,4.32569662276418,0.125334585,0.002073999,86.01889047,0.002855205,0.002385098,95.56522156,0.354259015,11340,10387,172.43,172.43,"Glutamatergic","L5 IT","Batf3",0.5152,0.877960718,"Intermediate","F2S4_170203_020_C01","L5 IT",1,"F2S4_170203_020_C01",2339.5089574296,3707.51230788168,0.0258295199577074,-0.0460182215558119,0.235148647277585
"F2S4_160615_001_D01","F2S4",1509853,9506,535948934,"Cells","Mus musculus",250951,"M",57,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/15/2016","F2S4_160615_001","RFP-positive","A8S4_160620_01","L8S4_160629_02_D03",475,"LS-15350_S20_E1-50","LS-15350","R8S4-160712",2371475,74.9658929277514,20.6965185694431,4.33758850280554,0.105377455,0.002487903,87.28542363,0.002654466,0.003475896,96.28362095,0.3280601,10616,9728,267.77,267.77,"Glutamatergic","L5 IT","Hsd11b1 Endou",0.1507,0.863373624,"Core","F2S4_160615_001_D01","L5 IT",1,"F2S4_160615_001_D01",2505.15531001848,2937.05660421107,-0.083529202456422,0.261731687637698,0.0233257693892189
"F2S4_160622_008_E01","F2S4",1712706,9964,535903833,"Cells","Mus musculus",252193,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/22/2016","F2S4_160622_008","RFP-positive","A8S4_160628_01","L8S4_160706_04_E02",431,"LS-15360_S13_E1-50","LS-15360","R8S4-160715",2653396,77.3031892690578,18.7058262444675,3.99098448647466,0.100361951,0.000339188,85.42859792,0.001921311,0.004979279,95.51563355,0.333739993,11069,10140,136.43,136.43,"Glutamatergic","L5 IT","Whrn Tox2",0.3877,0.906064092,"Core","F2S4_160622_008_E01","L5 IT",1,"F2S4_160622_008_E01",2494.04060797908,2872.26542517307,-0.114826992289856,0.226312368628023,0.0628268218814267
"F2S4_160622_019_B01","F2S4",1510420,8683,535908522,"Cells","Mus musculus",252193,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/22/2016","F2S4_160622_019","RFP-positive","A8S4_160630_02","L8S4_160708_03_B03",451,"LS-15363_S18_E1-50","LS-15363","R8S4-160715",2427204,77.0820216683399,18.4588223955866,4.45915593607358,0.097478415,0.000288398,83.4987088,0.003289794,0.005887845,92.82169937,0.357696067,9858,8892,248.85,248.85,"Glutamatergic","L5 IT","Hsd11b1 Endou",0.1498,0.856829207,"Core","F2S4_160622_019_B01","L5 IT",1,"F2S4_160622_019_B01",2477.13050442167,2908.51523065775,-0.0841337082577999,0.214183757278857,0.032117383730364
"F2S4_161109_001_C01","F2S4",2013398,11951,561526570,"Cells","Mus musculus",280709,"M",53,"Normal","Ai14(RCL-tdT)/Ai14(RCL-tdT)","","Ai14(RCL-tdT)/Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","RSP","RSP, PTLp, VISam","none","CAV2-Cre.V795","Inj_Site_Dissected","11/9/2016","F2S4_161109_001","RFP-positive","A8S4_161115_01","L8S4_161122_03_C01",431,"SM-D9EPX_S03_E1-50","SM-D9EPX","R8S4-161207",2686794,88.4194105927385,7.95374095575489,3.62684845150657,0.125577175,0.000744382,86.06104525,0.003250714,0.002595659,95.59541967,0.355881205,12987,12129,526.28,526.28,"Glutamatergic","L5 IT","Whrn Tox2",0.2467,0.916786742,"Core","F2S4_161109_001_C01","L5 IT",1,"F2S4_161109_001_C01",2154.21033427069,4411.81902497094,-0.0656432529140047,0.18184676831346,0.0493532645440344
"F2S4_180228_019_E01","F2S4",490203,6935,678697821,"Cells","Mus musculus",373084,"F",74,"Normal","Rorb-IRES2-FlpO/wt;Ai65F/wt","Rorb-IRES2-FlpO","Ai65F","R","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","2/28/2018","F2S4_180228_019","RFP-positive","A8S4_180302_06","L8S4_180309_03_E10",402,"SM-GE91H_S173_E1-50","SM-GE91H","R8S4-180321",675669,85.9426691901178,8.67949404357323,5.37783676630899,0,0.736011272,84.86537047,0.003905759,0.002144541,95.74081392,0.375349338,7737,7064,261.96,261.96,"Glutamatergic","L5 IT","Batf3",0.1138,0.844951628,"Core","F2S4_180228_019_E01","L5 IT",1,"F2S4_180228_019_E01",2523.59328152526,3596.53856605564,-0.0430807015425742,-0.0512039170395486,0.307871007361664
"F2S4_160818_001_D01","F2S4",1438679,9150,551131303,"Cells","Mus musculus",264196,"F",56,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","8/18/2016","F2S4_160818_001","RFP-positive","A8S4_160829_04","L8S4_160908_01_D01",406,"LS-15542_S04_E1-50","LS-15542","R8S4-160916",2312466,74.2185058209898,20.7612891482551,5.02020503075513,0.090552683,0.000302707,86.0595572,0.002282412,0.005133481,95.7454942,0.331533439,10515,9345,96.43,96.43,"Glutamatergic","L5 IT","Batf3",0.2096,0.862750751,"Core","F2S4_160818_001_D01","L5 IT",1,"F2S4_160818_001_D01",2450.20292052308,3701.58241783162,0.179508801030747,-0.0841145984803438,0.308606296560032
"F2S4_180110_066_E01","F2S4",726817,8966,660544303,"Cells","Mus musculus",366890,"F",59,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/10/2018","F2S4_180110_066","RFP-positive","A8S4_180111_08","L8S4_180118_01_E11",408,"SM-GE675_S181_E1-50","SM-GE675","R8S4-180124",1026045,84.1864111298366,11.9355418585776,3.8780470115858,0.118123474,0.002144155,85.65862121,0.004461793,0.003032031,96.16868656,0.35952983,9923,9168,227.09,227.09,"Glutamatergic","L5 IT","Batf3",0.1374,0.887326426,"Core","F2S4_180110_066_E01","L5 IT",1,"F2S4_180110_066_E01",2466.83599642243,3665.20467072764,0.145420029356116,-0.106325353673474,0.379215428869502
"F2S4_180228_009_F01","F2S4",499988,7627,678697641,"Cells","Mus musculus",373084,"F",74,"Normal","Rorb-IRES2-FlpO/wt;Ai65F/wt","Rorb-IRES2-FlpO","Ai65F","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","2/28/2018","F2S4_180228_009","RFP-positive","A8S4_180302_06","L8S4_180309_03_F08",407,"SM-GE91H_S158_E1-50","SM-GE91H","R8S4-180321",680670,86.1248286159755,8.85898710903933,5.01618427498516,0,0.676980034,85.8285219,0.003318789,0.001899599,95.84306639,0.370627421,8398,7800,359.94,359.94,"Glutamatergic","L5 IT","Batf3",0.1502,0.863359424,"Core","F2S4_180228_009_F01","L5 IT",1,"F2S4_180228_009_F01",2396.70050317147,3606.70206091155,0.15268992575301,-0.0475380757073872,0.352670627358708
"F2S4_180228_009_G01","F2S4",496272,6645,678697653,"Cells","Mus musculus",373084,"F",74,"Normal","Rorb-IRES2-FlpO/wt;Ai65F/wt","Rorb-IRES2-FlpO","Ai65F","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","2/28/2018","F2S4_180228_009","RFP-positive","A8S4_180302_06","L8S4_180309_03_G08",410,"SM-GE91H_S159_E1-50","SM-GE91H","R8S4-180321",671919,86.8199015866612,8.24666474738088,4.93343366595795,0,0.545601479,85.83147671,0.003620972,0.002073167,96.07274091,0.37142788,7360,6777,288.73,288.73,"Glutamatergic","L5 IT","Batf3",0.1374,0.844885884,"Core","F2S4_180228_009_G01","L5 IT",1,"F2S4_180228_009_G01",2434.2450520523,3592.78833801293,-0.00264883069839339,-0.0945904386394516,0.361675859331116
"F2S4_160317_008_D01","F2S4",2087619,10236,527149928,"Cells","Mus musculus",234648,"M",58,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","3/17/2016","F2S4_160317_008","RFP-positive","A8S4_160324_01","L8S4_160330_02_D06",446,"LS-15042_S44_E1-50","LS-15042","R8S4-160405-M",2996830,84.3898865652054,11.222201995001,4.38791143979358,0.09793682,0.000100106,84.13420181,0.002202327,0.006237591,95.21704601,0.360258566,11446,10391,322.34,322.34,"Glutamatergic","L5 IT","Col27a1",0.0882,0.893665229,"Core","F2S4_160317_008_D01","L5 IT",1,"F2S4_160317_008_D01",2716.01187328866,4038.21112201928,0.267646165344973,0.053597417274109,-0.0847700209159586
"F2S4_160624_031_G01","F2S4",1224243,9530,535909617,"Cells","Mus musculus",252599,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/24/2016","F2S4_160624_031","RFP-positive","A8S4_160630_03","L8S4_160708_04_G08",373,"LS-15364_S63_E1-50","LS-15364","R8S4-160715",2054965,70.9083238146506,23.3616475548042,5.73002863054522,0.093870212,0.000145988,86.50609621,0.001878377,0.005591336,95.71223841,0.337182054,11009,9745,162.53,162.53,"Glutamatergic","L5 IT","Batf3",0.1374,0.879737836,"Core","F2S4_160624_031_G01","L5 IT",1,"F2S4_160624_031_G01",2998.81978174884,2259.66974900937,0.0134181256560963,-0.0487583743758321,0.361639824235246
"F2S4_161007_012_H01","F2S4",1810798,9864,558027008,"Cells","Mus musculus",273954,"M",57,"Normal","Tlx3-Cre_PL56/wt;Ai14(RCL-tdT)/wt","Tlx3-Cre_PL56","Ai14(RCL-tdT)","L","VISp","L4-L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","10/7/2016","F2S4_161007_012","RFP-positive","A8S4_161012_04","L8S4_161018_03_H07",391,"LS-15577_S56_E1-50","LS-15577","R8S4-161027",2462830,87.1270131979938,9.0954585317184,3.77752827028781,0.172240877,0.000243622,85.5987218,0.004913453,0.004759971,95.41149815,0.353732488,10930,10032,475.06,475.06,"Glutamatergic","L5 IT","Hsd11b1 Endou",0.254,0.881294059,"Core","F2S4_161007_012_H01","L5 IT",1,"F2S4_161007_012_H01",2585.75979811751,2678.30312603572,-0.0752785519942237,0.392098345175172,-0.3032537266493
"F2S4_160317_009_D01","F2S4",1969427,11455,527149960,"Cells","Mus musculus",234648,"M",58,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","3/17/2016","F2S4_160317_009","RFP-positive","A8S4_160324_01","L8S4_160330_02_D07",479,"LS-15042_S52_E1-50","LS-15042","R8S4-160405-M",2869688,81.5268262319143,14.2763605936613,4.19681317442445,0.116354112,0.000139388,86.00541244,0.001780681,0.004190351,95.71817563,0.348853258,12680,11673,240.1,240.1,"Glutamatergic","L5 IT","Col27a1",0.0893,0.883938136,"Core","F2S4_160317_009_D01","L5 IT",1,"F2S4_160317_009_D01",2653.87345106555,4672.54547285209,0.316537470283507,0.00856159498165265,-0.0725122575676961
"F2S4_160426_005_E01","F2S4",1845127,10883,522734178,"Cells","Mus musculus",242303,"F",53,"Normal","Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Slc17a7-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","4/26/2016","F2S4_160426_005","RFP-positive","A8S4_160428_02","L8S4_160505_03_E02",431,"LS-15083_S13_E1-50","LS-15083","R8S4-160520",2566029,84.2856360930844,11.6784981122772,4.03586579463837,0.100505489,0.000506619,86.86916633,0.001759918,0.002864348,96.42447533,0.350462779,11895,11087,369.83,369.83,"Glutamatergic","L5 IT","Col27a1",0.0882,0.91022426,"Core","F2S4_160426_005_E01","L5 IT",1,"F2S4_160426_005_E01",3714.98216956531,1867.22717795449,0.332940921795139,0.041098564923848,-0.046942321977866
"F2S4_160818_006_H01","F2S4",1755554,10780,551133129,"Cells","Mus musculus",264196,"F",56,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","8/18/2016","F2S4_160818_006","RFP-positive","A8S4_160901_02","L8S4_160908_03_H03",424,"LS-15544_S24_E1-50","LS-15544","R8S4-160916",2388238,87.1741462484458,8.86167917380024,3.96417457775399,0.126243699,0.000251231,85.75539791,0.002422707,0.002987139,96.11939849,0.351713917,11755,10970,352.56,352.56,"Glutamatergic","L5 IT","Col27a1",0.0989,0.902664455,"Core","F2S4_160818_006_H01","L5 IT",1,"F2S4_160818_006_H01",3680.91643077896,1888.1920378701,0.390889757850641,-0.0324023356905714,-0.0415863288694126
"F2S4_170116_008_B01","F2S4",1822564,8641,570285886,"Cells","Mus musculus",292251,"M",58,"Normal","Rorb-IRES2-Cre-neo/wt;Ai14(RCL-tdT)/wt","Rorb-IRES2-Cre-neo","Ai14(RCL-tdT)","L","VISp","L5-L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/16/2017","F2S4_170116_008","RFP-positive","A8S4_170120_01","L8S4_170126_04_B08",453,"SM-D9CYT_S58_E1-50","SM-D9CYT","R8S4-170208",2776170,79.2458109911262,15.3817660072279,5.37242300164591,0.119553197,0.002053188,85.08819705,0.003982825,0.002548835,94.88503946,0.3577971,10268,8842,216.85,216.85,"Glutamatergic","L5 IT","Batf3",0.1374,0.845202553,"Core","F2S4_170116_008_B01","L5 IT",1,"F2S4_170116_008_B01",3650.8355362562,1855.27696371933,0.229311610450643,-0.0469384590771476,0.35739389077661
"F2S4_160329_028_C01","F2S4",1774535,10237,541798207,"Cells","Mus musculus",237300,"M",53,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","3/29/2016","F2S4_160329_028","RFP-positive","A8S4_160720_01","L8S4_160726_04_C06",479,"LS-15385_S43_E2-50","LS-15385","R8S4-160805",2585367,82.1357279695614,13.5813161065433,4.28295592389532,0.074496193,0.000696226,54.48742867,0.000946094,0.002563272,61.15731345,0.361241907,11092,10187,223.01,223.01,"Glutamatergic","L5 IT","Col6a1 Fezf2",0.202,0.88802568,"Core","F2S4_160329_028_C01","L5 IT",1,"F2S4_160329_028_C01",3694.5751233286,1787.12581978374,0.308380356757263,-0.134862048014805,0.0448016920489757
"F2S4_160622_003_B01","F2S4",1690413,10698,535903121,"Cells","Mus musculus",252193,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/22/2016","F2S4_160622_003","RFP-positive","A8S4_160627_01","L8S4_160706_03_B03",445,"LS-15359_S18_E1-50","LS-15359","R8S4-160715",2468932,81.406617462356,14.1365620992644,4.45682043837956,0.127666538,0.00085057,85.85473395,0.002126831,0.003744129,95.90296533,0.343793622,11836,10933,240.59,240.59,"Glutamatergic","L5 IT","Col27a1",0.0882,0.903565059,"Core","F2S4_160622_003_B01","L5 IT",1,"F2S4_160622_003_B01",3636.15938331425,1774.59075465099,0.333341814387024,0.00542012481338333,-0.0506422338204481
"F2S4_170203_026_D01","F2S4",1932228,10272,573042657,"Cells","Mus musculus",295493,"F",58,"Normal","Ai14(RCL-tdT)/wt","","Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","VISp-c","VISp, VISpm, VISpl","none","AAV2-retro-EF1a-Cre","OK","2/3/2017","F2S4_170203_026","RFP-positive","A8S4_170208_04","L8S4_170216_02_D11",445,"SM-D9CZT_S84_E1-50","SM-D9CZT","R8S4-170301",2819095,82.5449534601952,12.938206453641,4.51684008616381,0.093044044,0.010180572,84.74247941,0.002800899,0.002082229,95.62377288,0.357562653,11503,10496,186.94,186.94,"Glutamatergic","L5 IT","Batf3",0.2044,0.870981656,"Core","F2S4_170203_026_D01","L5 IT",1,"F2S4_170203_026_D01",3670.94836690353,1754.84925975256,0.240105670570808,-0.101920164425393,0.282757207927906
"F2S4_170126_011_H01","F2S4",1035167,9188,572404242,"Cells","Mus musculus",294813,"M",53,"Normal","Scnn1a-Tg3-Cre/wt;Ai14(RCL-tdT)/wt","Scnn1a-Tg3-Cre","Ai14(RCL-tdT)","L","VISp","L2/3-L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/26/2017","F2S4_170126_011","RFP-positive","A8S4_170201_01","L8S4_170208_05_H04",429,"SM-D9CZE_S32_E1-50","SM-D9CZE","R8S4-170222",1648863,74.0643561706348,21.1990651422836,4.73657868708157,0.120749874,0.000121296,87.37166156,0.004373317,0.001587761,96.32498273,0.332123041,10276,9421,237.74,237.74,"Glutamatergic","L5 IT","Hsd11b1 Endou",0.1436,0.884551198,"Core","F2S4_170126_011_H01","L5 IT",1,"F2S4_170126_011_H01",5513.51526228855,2285.11344467142,-0.124851924045077,0.275023987965972,-0.167070864783702
"F2S4_160615_004_C01","F2S4",1871919,10208,535949118,"Cells","Mus musculus",250951,"M",57,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/15/2016","F2S4_160615_004","RFP-positive","A8S4_160620_01","L8S4_160629_02_C06",430,"LS-15350_S43_E1-50","LS-15350","R8S4-160712",2721453,82.4868782831473,13.2014677196842,4.31165399716848,0.153631167,0.001543293,85.29087219,0.001629277,0.003598078,96.26592853,0.358123794,11452,10384,207.61,207.61,"Glutamatergic","L5 IT","Batf3",0.1374,0.882497728,"Core","F2S4_160615_004_C01","L5 IT",1,"F2S4_160615_004_C01",1693.47270804586,5907.11753120501,0.136155301286504,-0.0837762233830829,0.370437027384032
